http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_raceDate=2019%2f02%2f12&k_raceNo=1&k_babaCode=27,9,url
http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_raceDate=2019%2f02%2f12&k_raceNo=2&k_babaCode=27,9,url
http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_raceDate=2019%2f02%2f12&k_raceNo=3&k_babaCode=27,9,url
http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_raceDate=2019%2f02%2f12&k_raceNo=4&k_babaCode=27,10,url
http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_raceDate=2019%2f02%2f12&k_raceNo=5&k_babaCode=27,9,url
http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_raceDate=2019%2f02%2f12&k_raceNo=6&k_babaCode=27,6,url
http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_raceDate=2019%2f02%2f12&k_raceNo=7&k_babaCode=27,9,url
http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_raceDate=2019%2f02%2f12&k_raceNo=8&k_babaCode=27,9,url
http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_raceDate=2019%2f02%2f12&k_raceNo=9&k_babaCode=27,9,url
http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_raceDate=2019%2f02%2f12&k_raceNo=10&k_babaCode=27,12,url
http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_raceDate=2019%2f02%2f12&k_raceNo=11&k_babaCode=27,12,url
